Shape,Carat,Color,Clarity,Cut,Depth,Table,Symmetry,Cert,Price
Asscher,1.41,F,VVS1,Excellent,68.1,66,Very Good,GIA,9668
Asscher,1.18,I,VS1,Excellent,68.4,63,Excellent,GIA,4408
Asscher,1.83,I,VVS2,Excellent,66.6,61,Excellent,GIA,8220
Asscher,2.32,F,VVS2,Excellent,67.8,63,Excellent,GIA,22106
Asscher,1.01,I,VVS1,Excellent,70.5,67,Very Good,GIA,2901
Asscher,1.8,G,VVS1,Excellent,66.1,62,Excellent,GIA,13666
Asscher,1.8,E,SI1,Excellent,66.8,64,Very Good,GIA,13023
Asscher,1.8,G,VS1,Very Good,67.2,64,Very Good,GIA,13550
Asscher,1.8,E,VS2,Excellent,68.4,64,Very Good,GIA,15144
Asscher,1.8,E,VS1,Very Good,67.7,65,Very Good,GIA,13880
Asscher,1.8,F,VVS2,Excellent,68.9,65,Very Good,GIA,17302
Asscher,2.01,F,SI1,Excellent,65.5,61,Very Good,GIA,17641
Asscher,2.01,H,SI1,Excellent,68.2,61,Excellent,GIA,13423
Asscher,1.41,F,VVS1,Excellent,68.1,66,Very Good,GIA,9668
Asscher,1.18,I,VS1,Excellent,68.4,63,Excellent,GIA,4408
Asscher,1.83,I,VVS2,Excellent,66.6,61,Excellent,GIA,8220
Asscher,2.32,F,VVS2,Excellent,67.8,63,Excellent,GIA,22106
Asscher,1.01,I,VVS1,Excellent,70.5,67,Very Good,GIA,2901
Asscher,1.8,G,VVS1,Excellent,66.1,62,Excellent,GIA,13666
Asscher,1.8,E,SI1,Excellent,66.8,64,Very Good,GIA,13023
Asscher,1.8,G,VS1,Very Good,67.2,64,Very Good,GIA,13550
Asscher,1.8,E,VS2,Excellent,68.4,64,Very Good,GIA,15144
Asscher,1.8,E,VS1,Very Good,67.7,65,Very Good,GIA,13880
Asscher,1.8,F,VVS2,Excellent,68.9,65,Very Good,GIA,17302
Asscher,2.01,F,SI1,Excellent,65.5,61,Very Good,GIA,17641
Asscher,2.01,H,SI1,Excellent,68.2,61,Excellent,GIA,13423
Asscher,2.01,E,VS1,Very Good,71,62,Very Good,GIA,25908
Asscher,2.01,F,VS2,Very Good,65.9,63,Excellent,GIA,19942
Asscher,2.01,F,VS1,Excellent,67.5,63,Very Good,GIA,22073
Asscher,2.01,F,SI1,Excellent,61.6,64,Very Good,GIA,17396
Asscher,2.01,G,VS2,Excellent,66.5,64,Excellent,GIA,17897
Asscher,2.01,I,SI1,Very Good,67.3,64,Excellent,GIA,11505
Asscher,2.01,G,VS1,Excellent,69.2,64,Very Good,GIA,15980
Asscher,2.01,E,VVS2,Excellent,66,65,Very Good,GIA,24236
Asscher,2.01,H,VS2,Excellent,69.9,65,Excellent,GIA,15181
Asscher,2.01,H,VS2,Excellent,68.8,67,Very Good,GIA,14573
Asscher,3.05,I,SI1,Excellent,68.2,63,Very Good,GIA,23763
Asscher,3.05,I,VS1,Excellent,66.5,64,Excellent,GIA,31683
Asscher,3.05,D,VS1,Excellent,68.7,65,Excellent,GIA,66761
Asscher,1.78,F,VVS2,Excellent,66.3,67,Excellent,GIA,13839
Asscher,2.53,G,VS2,Excellent,66.7,68,Excellent,GIA,26711
Asscher,3.22,I,VVS2,Excellent,67.5,63,Excellent,GIA,30203
Asscher,0.84,F,VVS1,Excellent,68.1,64,Excellent,GIA,2985
Asscher,1.82,H,VVS2,Excellent,68.8,63,Excellent,GIA,11499
Asscher,1.82,E,SI1,Excellent,70,64,Very Good,GIA,13681
Asscher,1.15,D,SI1,Very Good,67.8,58,Excellent,GIA,6278
Asscher,1.15,F,VS1,Very Good,67.3,63,Excellent,GIA,5782
Asscher,2.67,G,VS1,Excellent,69.1,66,Very Good,GIA,30071
Asscher,0.94,H,VS1,Excellent,67.7,67,Excellent,GIA,3435
Asscher,1.86,G,SI1,Very Good,67.8,66,Good,GIA,11438
Asscher,1.88,D,VVS2,Excellent,61.8,63,Excellent,GIA,21116
Asscher,1.2,I,VVS2,Excellent,68.9,61,Excellent,GIA,4308
Asscher,1.2,D,VVS1,Excellent,68.1,65,Very Good,GIA,6403
Asscher,1.2,I,VVS1,Excellent,70,65,Excellent,GIA,3584
Asscher,1.02,G,VVS2,Excellent,67.1,57,Excellent,GIA,4432
Asscher,1.5,E,VS2,Excellent,66.3,59,Very Good,GIA,8001
Asscher,1.5,F,VVS1,Excellent,66.3,62,Good,GIA,10156
Asscher,1.5,G,VVS1,Excellent,68.1,65,Excellent,GIA,8925
Asscher,0.72,J,SI1,Good,81.9,,Good,GIA,804
Asscher,0.72,F,VS1,Excellent,66.7,64,Excellent,GIA,1994
